index  keygen  sign  verify  
0	0.215	0.206 	0.203
1	0.213	0.203 	0.194
2	0.198	0.203 	0.198
3	0.202	0.207 	0.195
4	0.196	0.203 	0.199
5	0.202	0.208 	0.214
6	0.203	0.205 	0.203
7	0.201	0.204 	0.2
8	0.203	0.206 	0.2
9	0.203	0.206 	0.2
10	0.204	0.206 	0.2
11	0.201	0.205 	0.2
12	0.203	0.203 	0.2
13	0.204	0.205 	0.201
14	0.263	0.21 	0.2
15	0.201	0.201 	0.199
16	0.197	0.202 	0.2
17	0.203	0.205 	0.193
18	0.194	0.197 	0.197
19	0.203	0.205 	0.201
20	0.203	0.208 	0.208
21	0.203	0.205 	0.202
22	0.202	0.206 	0.2
23	0.205	0.203 	0.199
24	0.202	0.205 	0.199
25	0.206	0.205 	0.2
26	0.203	0.204 	0.197
27	0.213	0.204 	0.204
28	0.205	0.205 	0.202
29	0.202	0.204 	0.198
30	0.203	0.205 	0.201
31	0.203	0.206 	0.197
32	0.206	0.206 	0.201
33	0.203	0.21 	0.21
34	0.204	0.207 	0.199
35	0.202	0.205 	0.196
36	0.201	0.204 	0.202
37	0.204	0.205 	0.201
38	0.203	0.205 	0.201
39	0.202	0.205 	0.199
40	0.205	0.204 	0.199
41	0.202	0.203 	0.2
42	0.206	0.205 	0.2
43	0.202	0.204 	0.188
44	0.19	0.192 	0.186
45	0.189	0.193 	0.193
46	0.19	0.192 	0.197
47	0.195	0.196 	0.189
48	0.206	0.212 	0.198
49	0.206	0.215 	0.2
50	0.203	0.206 	0.202
51	0.202	0.205 	0.208
52	0.203	0.214 	0.204
53	0.204	0.203 	0.188
54	0.198	0.204 	0.186
55	0.191	0.192 	0.185
56	0.189	0.192 	0.188
57	0.188	0.193 	0.186
58	0.19	0.193 	0.187
59	0.191	0.194 	0.184
60	0.196	0.196 	0.187
61	0.189	0.193 	0.187
62	0.19	0.192 	0.187
63	0.189	0.193 	0.188
64	0.19	0.191 	0.189
65	0.189	0.192 	0.187
66	0.19	0.192 	0.186
67	0.199	0.194 	0.198
68	0.204	0.209 	0.204
69	0.204	0.204 	0.203
70	0.203	0.192 	0.185
71	0.189	0.193 	0.189
72	0.198	0.192 	0.184
73	0.191	0.192 	0.201
74	0.194	0.192 	0.187
75	0.189	0.193 	0.189
76	0.19	0.199 	0.193
77	0.202	0.206 	0.201
78	0.202	0.204 	0.189
79	0.189	0.191 	0.186
80	0.189	0.204 	0.21
81	0.203	0.206 	0.197
82	0.203	0.205 	0.199
83	0.203	0.205 	0.203
84	0.201	0.205 	0.199
85	0.203	0.205 	0.199
86	0.205	0.204 	0.201
87	0.212	0.208 	0.201
88	0.203	0.206 	0.202
89	0.202	0.205 	0.2
90	0.203	0.204 	0.198
91	0.202	0.205 	0.202
92	0.203	0.205 	0.201
93	0.201	0.206 	0.208
94	0.202	0.206 	0.2
95	0.203	0.205 	0.2
96	0.205	0.207 	0.198
97	0.204	0.205 	0.201
98	0.204	0.206 	0.2
99	0.203	0.205 	0.188
